英文专名,类型,当前译名,统一音译,使用规则,来源
Agilting Castle,定居点文本,阿吉尔廷堡,阿吉尔廷堡,AI音译，保留文化专名。,术语表候选
Ain Baliq,定居点文本,艾因巴利克,艾因巴利克,AI音译，保留文化专名。,术语表候选
Akiser,定居点文本,阿基瑟,阿基瑟,AI音译，保留文化专名。,术语表候选
Akiser Castle,定居点文本,阿基瑟堡,阿基瑟堡,AI音译，保留文化专名。,术语表候选
Alantas,定居点文本,阿兰塔斯,阿兰塔斯,AI音译，保留文化专名。,术语表候选
Alatys,定居点文本,阿拉蒂斯,阿拉蒂斯,AI音译，保留文化专名。,术语表候选
Alebat,定居点文本,阿莱巴特,阿莱巴特,AI音译，保留文化专名。,术语表候选
Alorstan,定居点文本,阿洛斯坦,阿洛斯坦,AI音译，保留文化专名。,术语表候选
Alosea,定居点文本,阿洛塞亚,阿洛塞亚,AI音译，保留文化专名。,术语表候选
Alov,定居点文本,阿洛夫,阿洛夫,AI音译，保留文化专名。,术语表候选
Alsasos,定居点文本,阿尔萨索斯,阿尔萨索斯,AI音译，保留文化专名。,术语表候选
Amycon,定居点文本,阿米孔,阿米孔,AI音译，保留文化专名。,术语表候选
Andurn,定居点文本,安杜恩,安杜恩,AI音译，保留文化专名。,术语表候选
Arpotis,定居点文本,阿尔波蒂斯,阿尔波蒂斯,AI音译，保留文化专名。,术语表候选
Arromanc,定居点文本,阿罗曼克,阿罗曼克,AI音译，保留文化专名。,术语表候选
Aster,定居点文本,阿斯特,阿斯特,AI音译，保留文化专名。,术语表候选
Aster Castle,定居点文本,阿斯特堡,阿斯特堡,AI音译，保留文化专名。,术语表候选
Ataconia,定居点文本,阿塔科尼亚,阿塔科尼亚,AI音译，保留文化专名。,术语表候选
Ataconia Castle,定居点文本,阿塔科尼亚堡,阿塔科尼亚堡,AI音译，保留文化专名。,术语表候选
Atphynia,定居点文本,阿特菲尼亚,阿特菲尼亚,AI音译，保留文化专名。,术语表候选
Atrion,定居点文本,阿特里翁,阿特里翁,AI音译，保留文化专名。,术语表候选
Atrion Castle,定居点文本,阿特里翁堡,阿特里翁堡,AI音译，保留文化专名。,术语表候选
Avasinton,定居点文本,阿瓦辛顿,阿瓦辛顿,AI音译，保留文化专名。,术语表候选
Backstreet,定居点文本,后街,后街,AI音译，保留文化专名。,术语表候选
Bait Hatif,定居点文本,拜特哈提夫,拜特哈提夫,AI音译，保留文化专名。,术语表候选
Baq,定居点文本,巴克,巴克,AI音译，保留文化专名。,术语表候选
Barihal,定居点文本,巴里哈尔,巴里哈尔,AI音译，保留文化专名。,术语表候选
Beglomuar,定居点文本,贝格洛穆阿尔,贝格洛穆阿尔,AI音译，保留文化专名。,术语表候选
Bir Seif,定居点文本,比尔塞夫,比尔塞夫,AI音译，保留文化专名。,术语表候选
Bjorenbyr,定居点文本,比约伦比尔,比约伦比尔,AI音译，保留文化专名。,术语表候选
